bag,inst,img,case,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22,principal component 23,principal component 24,principal component 25,principal component 26,principal component 27,principal component 28,principal component 29,principal component 30,principal component 31,principal component 32,principal component 33,principal component 34,principal component 35,principal component 36,principal component 37,principal component 38,principal component 39,principal component 40,principal component 41,principal component 42,principal component 43,principal component 44,principal component 45,principal component 46,principal component 47,principal component 48,principal component 49,principal component 50
1,1,V10_S_4_0.jpeg,1,15.73404551611912,-10.160820546097998,6.036201925843869,4.078292642584388,-1.6608521218283334,-2.0198415080865386,0.5150246503295004,2.262173861988549,-0.8131744963052312,-0.9266443601741408,-0.31918513558995354,0.46207728425670513,-0.7466506075298158,-0.5959887141760807,-1.7520367655294629,-2.4799923719882866,-0.6971957022064776,2.571250191117228,3.1067556669796224,2.028873045194111,-0.3784308015635047,-0.7192318341282506,-1.998183620444861,0.3921372110003193,2.0075632830885253,0.7050036645239106,0.2096156159953786,1.0115564425355161,1.5853527335370263,0.9630964440790827,1.0989871252067753,1.2949307786899804,0.5077910052155534,-1.1532081733923794,-1.310351517937597,0.19586432099585965,0.3266920772278785,0.5740934221382874,0.3046113256120345,1.337897947909545,0.6486513817029967,0.732861966335523,0.4238895876078508,-0.5090640997935998,1.444310691612359,0.1449726290173663,0.4581294534324138,-1.7095151562223476,-0.6082011666675184,1.3187413937441888
1,2,V10_S_4_1.jpeg,1,16.039143404527806,-12.042370083465233,6.251793914834734,4.663721805613536,-0.6979450620734156,-1.0655478827484963,2.583616371254517,2.334020566795054,-1.9160557000950629,-0.9351592459000392,0.28043492141159865,0.33821699997446064,-1.4230174481479272,-1.382602588359221,-0.7036930008396768,-1.7218240195170256,-0.9897016487098892,3.006149388908131,3.438924063846129,2.4174001949450097,-0.40874565654311035,-2.22549126743641,-2.111574120806352,-0.8938679998284708,1.0215991497000843,-0.3972451619496782,0.2342498877818413,1.3091932351525573,1.7429452440154352,0.14758775241636046,0.5904217472064882,1.427758641235108,-0.5100745523749379,-1.201210485596978,-1.9761293870934136,-1.0565696356708425,1.3245899898307776,1.1184652177141523,0.2202122842250227,0.6098351015015522,0.7176705972379246,0.628521633137123,0.5116820460006808,-0.4946983045922466,0.6684665963050607,0.20723142200441913,0.8949193958886791,-1.6531280480338388,0.03623797082761948,1.2943611518988452
1,3,V10_S_4_2.jpeg,1,17.245285963380375,-12.156861387255407,8.130170213494246,3.4127333953089045,-1.402968344343911,-0.708747135161331,2.1531902931943834,3.0380461643590793,-2.247049037053424,-0.555338862533568,-0.7340430326276013,0.06866499179253482,-1.7471847404089065,-0.6372062453144554,-0.5957713811387332,-2.4886838705363026,-1.3854996072113865,2.558724972839738,3.877883361435334,2.8940113020674647,-0.2577816103090055,-2.382842306912091,-2.5109051129524382,-0.19593854098518937,2.2004208169719335,0.24510854696161766,-0.19811657019179252,0.9910431331220386,1.7039081261605085,0.9023737928389055,1.2828508971089219,0.6790095423636697,0.1819866091419834,-0.6623175150467719,-1.3952663102834801,-1.4297615304620437,0.9108854599227288,0.8177560543674134,0.9115446829161753,0.44602753405250595,0.4501691819544503,0.9131258490263542,0.7886076829239052,0.29206613995150943,1.0204637803150747,-0.33674823334199533,1.3203251376000382,-1.6912661193510399,0.6416975528222661,1.6413759906401837
1,4,V10_S_4_0.jpeg,1,-13.243459134877519,-12.001748510876304,0.35497477692684964,3.4142497403729912,3.505824321160878,-0.9783450850638872,-2.7082729163475916,-5.081988766254789,4.336424482871675,-2.952644524800797,-1.3257974821833949,5.293671863065593,-2.648099432814635,0.5634063704932294,1.4691394868951286,4.946223396666129,1.4887176419187171,-3.322374929088159,4.975871827848109,-0.7409855391057987,-1.803111247725947,1.2491460064990503,-0.43384085567494934,-0.9556417110817805,3.3907517320830487,3.714579132156489,2.4739455937196335,-4.371869019558057,-1.557118729341014,3.043556637883268,-4.840560575055738,-2.377567041983381,0.3146796831815803,2.087251878678325,-0.22066214284878727,-1.3301300003065892,1.1696770751779104,1.8831210129511335,-1.6565218379343545,-1.6104711084965542,1.7746132489009847,-2.206020714048519,-0.947800091772135,-0.0770120460921851,-0.4661024061080646,0.25250531278961064,0.13939561502548692,0.3390026547023118,0.7680836153433134,0.5291096872531786
1,5,V10_S_4_1.jpeg,1,-13.171527934397758,-9.704673163001207,0.054750953685865245,2.4632042256913995,2.566293478914742,-0.8915111183605027,-1.5728445002969405,-5.355264171863958,3.3191439619545537,-1.902754369232521,-0.23342558988523987,2.862114006812012,-1.4091569900586496,0.6509277320990263,0.37654076210693666,0.8506524216378079,2.283566708561793,-1.4090039876345744,0.39546985191551043,-0.6238374515188029,-0.35979865373600406,0.44260103514530436,0.49446250099841715,-0.10325686485966501,-1.032207650544669,-1.063018225074177,-0.45378788490622074,-0.0030316352472422176,0.13802957220418677,-0.8834266693872246,-0.0032371214454873787,1.1110206083003198,-1.0863554620251428,-0.8647966789208759,-1.0339987130553154,-0.4011454107126019,-1.0043154422506162,-0.9135385145739356,0.7579890919330883,-1.4653135709830252,0.2998194391705304,-1.1040498375522367,0.8900393299975662,1.2700517678041972,-0.35372714546937756,-0.9988341506734744,-1.1928877767907626,-0.029956386823781822,0.026720238732814428,0.2901241475175626
1,6,V10_S_4_2.jpeg,1,-12.258516518956888,-7.760531279284759,-0.5480645474635688,3.1010386874733293,1.9941861734494362,-0.3543044223770299,-0.7451729524111953,-4.89520480285319,2.3822654800766503,-0.8617254288999804,-0.09132172770061919,1.5509510631071342,-1.3751600486569604,1.4205029931800257,-0.06457725790195157,-0.21226063866903133,2.2416703474061297,-1.106434998028834,-1.3381173282266792,-0.08437617388630136,-0.009952303424322295,0.14272613895396302,0.6982532189622348,-0.954532076356688,-1.456030865901451,-2.0344645792556175,-0.534560654803398,1.0085665499218548,0.5205880316475852,-0.6372691648749831,-0.22147089444840534,0.06596789331885206,-0.5719234326604972,-0.5155026383123629,-0.2638042451583487,-0.10146024392339115,0.04057887795396886,-0.03144781967004917,1.0774831782354943,-0.7315926536821022,1.2568641280164576,-0.7549348090010564,1.137459617305553,0.39947533915371836,-0.6546995910369999,-0.27512121348486884,-1.0232147346594458,-0.2172733434190674,0.17424755823566848,0.714447069716496
2,1,V11_S_4_0.jpeg,2,12.554576668800282,-1.2623307014073595,4.334026428850507,-4.901311204837487,-1.4792075236867748,-1.618283308594923,0.08452310077405167,2.7081440617697154,-1.1534342721229622,0.19606606336831878,-1.789069562734435,1.209056317563699,-0.3289277499985499,1.6200537136922208,-0.5429409468879243,-1.5410234762512787,0.2310518190137607,-0.20675926366801234,0.6340624444031827,-0.062296539035351484,0.5285989170247027,0.2575072426915195,-0.362836933974647,-0.41303795822536166,-1.143381113576658,-0.5459524165680697,0.1440067699153893,0.9061961703535243,0.609087690206307,0.7418706206523438,0.2690316485099391,-0.08840573762717074,0.5562625022150002,1.4111656524399578,-0.19268417851767886,1.1813092671531007,1.2985247361951968,-0.031771388408546875,-0.8430950203628286,-0.04876506080563238,-0.057353717479574406,-0.7782971020936702,1.435401963530399,0.12591059956435313,0.8819212034799397,-0.8900514254858376,-0.3946310069946513,0.5998359635796592,-0.7706415400332618,0.22035536844611053
2,2,V11_S_4_1.jpeg,2,13.700043431932379,-0.901166404550106,4.391023981978504,-5.5914494139778155,-0.8609443044780871,-3.31481355292099,-5.017746934583698,0.25612869806410443,1.8086954648101714,12.121073645286542,-1.1198979776634448,5.359275637524281,4.412932030993114,-0.48409603944050833,2.3132688083090263,-1.3361692093292525,0.5933560759528409,-1.3744413858617053,2.3105426563184417,3.7929926130706364,-0.39118250189551884,-0.9217868579634366,-0.5640815708060647,0.2654118738105755,0.03442879409836541,-2.0501345569323943,-0.43299152444228484,0.19906942220649254,0.8421864265399348,0.6545153071199133,0.29387832204984143,-0.16344843384695085,0.8843945612872322,-1.440380243259327,-0.501931093378642,0.584223119431557,-0.18196700790491155,1.612563936966001,-1.120745635754555,0.4964577310677437,-0.7906734849730324,-1.4544247044343144,1.419011938295391,-1.1122626326529783,-1.5141915214415798,-0.2318667139302516,0.6931959473176463,0.3591812055402008,-0.06910694541109108,2.185181582846719
2,3,V11_S_4_2.jpeg,2,9.74313116695765,-0.21968540687756227,3.884272690481975,-2.5651912880045105,-2.445323110949137,-3.7615196965672286,-1.6229930383417444,1.850017690371572,1.2593030381173715,1.32028262919077,-1.330564712893913,0.8882158584153588,0.9197930660966809,1.2465232184291335,0.6214268998917442,-1.97844409288184,-1.2912370040876937,-0.20645787906821653,-0.03838107272934216,0.5841440267297564,0.8110233895681623,0.8985349992064449,-1.7611190808335038,-1.0809912332419622,-0.6388159038213947,-0.3325678217790722,-0.19223071603348718,0.002506456972726282,0.41766545159145074,0.8592646188467229,-0.06360648746594684,0.7676800884646486,0.9500751526527551,0.42394521251470607,-0.5699545075160204,1.0450338730349575,1.0945459797241066,-0.29618359297372554,-0.7123089527160067,-0.12487007302176448,0.8549178783430851,-0.0931349646847216,1.0878633447752473,-0.18969510694054728,-0.5032121556415916,-0.7667282966684066,-0.37713337959257665,-0.31162434263827404,-0.4116797975051217,0.6144559035346124
2,4,V11_S_4_3.jpeg,2,6.400003902233967,-0.03485655066597032,-0.5684163828854161,1.7380726453603064,1.1086123013227522,-2.217793120383743,2.0031781531978403,-0.03288893333235088,0.733685506838462,-0.11325812393551088,1.1159032672617868,0.21046522360516573,-0.5750241673091031,-0.07013696238858758,1.531293217951528,-0.135912927093912,0.0862391062570908,0.49953880999628836,-0.04975355162684353,0.44244914795329,0.11555489421084869,0.4832265725498912,-1.053058636683314,-0.998356264260823,0.9176660192867535,0.07681794378593026,-0.42093260756141754,0.3134522860627525,0.26634416067666367,-0.3388120872239235,0.9966596643091117,-1.067679041586934,0.4590238929467869,-0.3646084852511261,-0.3418357138310042,0.3417677876231283,0.9474799127355301,-0.2278744558494833,1.1833949773462362,1.3982710628113075,0.8069899496626376,1.1605665065209898,0.13593024593498537,0.30721710411503067,0.07952780960802705,0.11088201439370787,-0.2603006140040402,0.13173652348588294,-0.31668226629595486,-0.5685020768885566
